,titles,times,links,reads,reply
36,千万不要啊！,04-16 02:16,"https://guba.eastmoney.com/news,300540,1024730660.html",370,1
37,放量了，还跑吗？！,04-16 02:11,"https://guba.eastmoney.com/news,300540,1024727362.html",362,1
38,干,04-16 02:07,"https://guba.eastmoney.com/news,300540,1024723232.html",349,0
39,真的是热泪盈眶啊，他终于来了,04-16 02:05,"https://guba.eastmoney.com/news,300540,1024722055.html",274,0
40,张婷我爱你,04-16 02:05,"https://guba.eastmoney.com/news,300540,1024721801.html",308,0
41,兄弟们今天不进，更待何时！,04-16 01:59,"https://guba.eastmoney.com/news,300540,1024715935.html",614,8
42,这样子拉高又在准备套散户。,04-16 01:55,"https://guba.eastmoney.com/news,300540,1024713137.html",322,0
43,洗洗睡吧,04-16 01:19,"https://guba.eastmoney.com/news,300540,1024681250.html",316,0
44,看看这恶庄的操盘？天天这样狡猾难测！残忍恶毒！兄弟们没进的千万别进来！会让人吐血,04-16 01:19,"https://guba.eastmoney.com/news,300540,1024681292.html",564,2
45,放量拉升,04-16 01:17,"https://guba.eastmoney.com/news,300540,1024680224.html",348,1
46,凶悍,04-16 01:15,"https://guba.eastmoney.com/news,300540,1024678074.html",303,0
47,废物一枚,04-16 01:03,"https://guba.eastmoney.com/news,300540,1024669420.html",274,0
48,这个冷也有减持！什么时候公告出来又要跌惨了[哭][哭][哭]我的凯美特气就是公告,04-16 11:38,"https://guba.eastmoney.com/news,300540,1024645143.html",302,0
49,还是跟屁虫，跟着雪人股份！,04-16 11:31,"https://guba.eastmoney.com/news,300540,1024642540.html",271,0
50,能不能争点气,04-16 11:16,"https://guba.eastmoney.com/news,300540,1024630134.html",269,0
51,庄家的智商真的是有问题啊，哈哈哈。也不知道哪里找来的操盘手，蠢货,04-16 11:15,"https://guba.eastmoney.com/news,300540,1024629330.html",283,0
52,这拉一波又跌是几个意思,04-16 10:57,"https://guba.eastmoney.com/news,300540,1024611955.html",322,2
53,今天又落后血人、凯美。,04-16 10:49,"https://guba.eastmoney.com/news,300540,1024603091.html",268,0
54,追高了,04-16 10:45,"https://guba.eastmoney.com/news,300540,1024598241.html",367,0
55,公司内部不和谐，国资入住，并不和谐，管的太多，利益无法达成共识,04-16 10:30,"https://guba.eastmoney.com/news,300540,1024582096.html",347,0
56,又开始心电图了，庄股，死翘翘,04-16 10:12,"https://guba.eastmoney.com/news,300540,1024560890.html",297,0
57,随你跌，老子不看票了，过两周再来看,04-16 09:49,"https://guba.eastmoney.com/news,300540,1024528893.html",381,2
58,起底天然气业！LNG参考价(元/吨)近30日变动26.21%[21/04/16],04-16 04:30,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210416043053269821840,2813,1
59,看来年报和一季度报有雷啊不然不会这个走势的,04-16 02:29,"https://guba.eastmoney.com/news,300540,1024446179.html",322,0
60,要到18以下吗？我看还有解禁,04-15 06:05,"https://guba.eastmoney.com/news,300540,1024357163.html",462,0
61,区域形成明天冲击涨停板,04-15 05:24,"https://guba.eastmoney.com/news,300540,1024346751.html",285,0
62,好票，今天第三次开始建仓了，预期最大套7个点。18.98的本[呲牙],04-15 05:21,"https://guba.eastmoney.com/news,300540,1024345991.html",284,0
63,明天18.36我会回来的～,04-15 03:11,"https://guba.eastmoney.com/news,300540,1024306715.html",338,1
64,每个月都是长上影线，没意思,04-15 03:07,"https://guba.eastmoney.com/news,300540,1024304749.html",269,0
65,明天18保不住,04-15 03:00,"https://guba.eastmoney.com/news,300540,1024300006.html",250,0
66,催牛逼,04-15 02:59,"https://guba.eastmoney.com/news,300540,1024299287.html",259,0
67,基本毁了,04-15 02:05,"https://guba.eastmoney.com/news,300540,1024252282.html",253,0
68,可以建仓了，哈哈哈,04-15 02:02,"https://guba.eastmoney.com/news,300540,1024250015.html",357,1
69,寒冬腊月，瑟瑟发抖。,04-15 01:59,"https://guba.eastmoney.com/news,300540,1024247361.html",327,0
70,一看这名就不能是什么好股，让人不寒而栗！上面的冷不冷？我深深的冷的直打哆嗦,04-15 11:12,"https://guba.eastmoney.com/news,300540,1024154697.html",382,0
71,深冷冲冲冲，重组什么时候走程序,04-15 10:54,"https://guba.eastmoney.com/news,300540,1024137054.html",410,2
72,回踩均线可以更好上涨！,04-15 09:34,"https://guba.eastmoney.com/news,300540,1024030120.html",367,0
73,冷，实在是冷。,04-15 09:33,"https://guba.eastmoney.com/news,300540,1024028282.html",336,0
74,一点点跌没了,04-15 09:33,"https://guba.eastmoney.com/news,300540,1024027865.html",347,0
75,起底天然气业！LNG参考价(元/吨)近30日变动26.21%[21/04/15],04-15 04:36,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210415043634730724150,2965,0
76,深冷真不错，比厚普富瑞什么的强多了，他涨的不少了，还不满足！,04-14 08:40,"https://guba.eastmoney.com/news,300540,1023915232.html",362,1
77,深狗就是这副德性！死庄毫没半点人性，就是升点不磨死人不放手！他的操盘除非神仙才能,04-14 07:49,"https://guba.eastmoney.com/news,300540,1023903387.html",230,0
78,赔惨了[哭],04-14 03:02,"https://guba.eastmoney.com/news,300540,1023830207.html",285,0
79,为啥,04-14 02:46,"https://guba.eastmoney.com/news,300540,1023816391.html",320,0
80,可恶死庄又来了！恶性难解！杀散吸血！,04-14 02:37,"https://guba.eastmoney.com/news,300540,1023808557.html",299,0
81,怎么了？,04-14 02:33,"https://guba.eastmoney.com/news,300540,1023804676.html",321,0
82,这货现在就是毛,04-14 02:30,"https://guba.eastmoney.com/news,300540,1023802477.html",271,0
83,今天枉你还是个创业板，太大煞风景了。[大笑][大笑][大笑],04-14 02:20,"https://guba.eastmoney.com/news,300540,1023793670.html",314,0
84,均线还是支撑的不错,04-14 02:15,"https://guba.eastmoney.com/news,300540,1023789147.html",299,0
85,为什么不涨？,04-14 01:49,"https://guba.eastmoney.com/news,300540,1023766499.html",340,0
86,一会拉升,04-14 01:25,"https://guba.eastmoney.com/news,300540,1023746813.html",309,0
87,你真是冷，耗子尾汁。,04-14 11:17,"https://guba.eastmoney.com/news,300540,1023689462.html",348,0
88,主力可能监控我了，一跑就开始涨了，多讽刺，祝你阖家幸福快乐,04-14 10:28,"https://guba.eastmoney.com/news,300540,1023637122.html",416,0
89,趋势已经坏了，大盘跌涨，结局都一样，就是跌！,04-14 10:01,"https://guba.eastmoney.com/news,300540,1023602969.html",370,0
90,跑了跑了，进了南网，这个啊斗我等不起,04-14 09:59,"https://guba.eastmoney.com/news,300540,1023600838.html",304,0
91,深冷就是厉害,04-14 09:29,"https://guba.eastmoney.com/news,300540,1023553928.html",332,0
92,目前就是等。等定增落地等股东减持完毕现在定增还没批下来是不会涨的。原地磨来磨去。,04-14 09:15,"https://guba.eastmoney.com/news,300540,1023541516.html",629,2
93,起底天然气业！LNG参考价(元/吨)近30日变动25.75%[21/04/14],04-14 04:50,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210414045055405012710,2623,0
94,该你表现了,04-13 11:24,"https://guba.eastmoney.com/news,300540,1023488401.html",294,0
95,应对也很简单，要么别跟，要么原地趴下装死，守了这么久了，则么也要看看他的底牌不是,04-13 09:14,"https://guba.eastmoney.com/news,300540,1023461841.html",400,0
96,我知兄弟，别见笑。惨的就在这里，由于这个狗庄狡猾成性毫没半点人性。要拉升前必造假,04-13 06:31,"https://guba.eastmoney.com/news,300540,1023427772.html",352,1
97,有本事跌,04-13 02:46,"https://guba.eastmoney.com/news,300540,1023356062.html",253,0
98,那个在压盘,04-13 02:00,"https://guba.eastmoney.com/news,300540,1023313506.html",313,0
99,深狗你真是臭不可闻！没一天能让小股东省点心！,04-13 01:32,"https://guba.eastmoney.com/news,300540,1023287704.html",330,2
100,股东不减持完是不会涨的,04-13 11:16,"https://guba.eastmoney.com/news,300540,1023219635.html",304,0
101,空头什么意思？跌跌不息何时休？,04-13 10:57,"https://guba.eastmoney.com/news,300540,1023201430.html",325,1
102,真服了你了,04-13 10:51,"https://guba.eastmoney.com/news,300540,1023195129.html",279,0
103,深冷，赶紧上,04-13 10:49,"https://guba.eastmoney.com/news,300540,1023192825.html",295,0
104,主力，你干脆一点，直接砸一把不行吗？,04-13 10:49,"https://guba.eastmoney.com/news,300540,1023193805.html",362,0
105,高点赚的太少[哭]不舍得卖[怒][怒][怒]套住就后悔[哭][哭][哭][哭],04-13 10:48,"https://guba.eastmoney.com/news,300540,1023193551.html",315,0
106,这样没有的搞头了,04-13 10:43,"https://guba.eastmoney.com/news,300540,1023186814.html",257,0
107,那个在压盘,04-13 10:43,"https://guba.eastmoney.com/news,300540,1023187671.html",277,0
108,丢了个发黑呀,04-13 10:43,"https://guba.eastmoney.com/news,300540,1023186555.html",281,0
109,窝操,04-13 10:17,"https://guba.eastmoney.com/news,300540,1023158161.html",302,1
110,破产算了，,04-13 10:04,"https://guba.eastmoney.com/news,300540,1023141374.html",285,0
111,单阳不破，能不能雄起,04-13 10:03,"https://guba.eastmoney.com/news,300540,1023139580.html",362,2
112,涨涨涨！,04-13 09:40,"https://guba.eastmoney.com/news,300540,1023104937.html",352,1
113,又废了,04-13 09:33,"https://guba.eastmoney.com/news,300540,1023092354.html",330,0
114,龙头,04-13 09:29,"https://guba.eastmoney.com/news,300540,1023086092.html",374,0
115,起底天然气业！LNG参考价(元/吨)近30日变动21.27%[21/04/13],04-13 04:26,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210413042623598529520,4343,1
116,大半年了从三十多跌到你这深渊恶魔深坑中！天天食不知味！可是你们这恶公司恶庄吸着散,04-12 10:16,"https://guba.eastmoney.com/news,300540,1023009460.html",264,0
117,六天把人气从前一百打到中下级水平，高！实在是高！,04-12 09:39,"https://guba.eastmoney.com/news,300540,1023000470.html",275,0
118,主力看样子，要磨叽一段时间才能过22.3了！！！,04-12 03:06,"https://guba.eastmoney.com/news,300540,1022897777.html",249,0
119,看看雪人？,04-12 02:54,"https://guba.eastmoney.com/news,300540,1022887650.html",303,1
120,雪人地天板。。。,04-12 02:39,"https://guba.eastmoney.com/news,300540,1022870671.html",378,1
121,上涨放量，下跌缩量[鼓掌],04-12 02:19,"https://guba.eastmoney.com/news,300540,1022851002.html",262,0
122,氢能源涨的时候，你磨磨叽叽，跌的时候，你奋勇前进，一马当先，祝庄家天天绿帽子。,04-12 01:10,"https://guba.eastmoney.com/news,300540,1022788543.html",366,1
123,今天就这样了，20以上收盘,04-12 11:13,"https://guba.eastmoney.com/news,300540,1022736190.html",297,0
124,请开始你的表演,04-12 11:06,"https://guba.eastmoney.com/news,300540,1022728109.html",245,0
125,一分钟成交一两次，我还以为我卡了或者停牌了呢[滴汗][滴汗][滴汗][滴汗],04-12 10:27,"https://guba.eastmoney.com/news,300540,1022684195.html",304,0
126,大盘下跌，该到你表现的时候了,04-12 10:23,"https://guba.eastmoney.com/news,300540,1022680295.html",242,0
127,带头大哥就是你，迅速翻红，冲10%个点以上,04-12 10:04,"https://guba.eastmoney.com/news,300540,1022654364.html",307,0
128,深冷冲冲冲,04-12 09:54,"https://guba.eastmoney.com/news,300540,1022639544.html",299,2
129,不要说没给你机会，自己贪心怨不得别人。,04-12 09:40,"https://guba.eastmoney.com/news,300540,1022618756.html",613,6
130,恶庄你真是残忍恶人,04-12 09:39,"https://guba.eastmoney.com/news,300540,1022617484.html",343,0
131,又发套了,04-12 09:34,"https://guba.eastmoney.com/news,300540,1022610670.html",325,0
132,起底天然气业！LNG参考价(元/吨)近30日变动21.48%[21/04/12],04-12 04:27,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210412042750433173600,4286,0
133,深冷股份300540如果上方突破了21.52就极可能到达25.71,04-11 10:13,"https://guba.eastmoney.com/news,300540,1022538042.html",559,1
134,[图片],04-11 07:20,"https://guba.eastmoney.com/news,300540,1022520528.html",358,0
135,转发,04-11 04:01,"https://guba.eastmoney.com/news,300540,1022503002.html",445,0
136,深冷的主力在等重组消息吗？这边真没看懂,04-10 11:01,"https://guba.eastmoney.com/news,300540,1022443050.html",431,1
137,明天跳空高开，收涨5%以上几乎没有悬念。,04-10 07:06,"https://guba.eastmoney.com/news,300540,1022424340.html",497,3
138,风水轮流转，哪天到深冷？,04-10 04:28,"https://guba.eastmoney.com/news,300540,1022412585.html",386,0
139,氢能源，加氢设备，燃料电池，业绩尚可，盘子小，控股股东实力不俗，面临氢能源风口，,04-10 11:30,"https://guba.eastmoney.com/news,300540,1022389230.html",640,2
140,尾盘买了点，希望下星期能吃点肉肉[得意],04-09 03:11,"https://guba.eastmoney.com/news,300540,1022241401.html",409,1
141,K线形态看涨提腰带！现在买入就可以去泡美眉了,04-09 03:11,"https://guba.eastmoney.com/news,300540,1022241508.html",793,0
142,转发,04-09 02:43,"https://guba.eastmoney.com/news,300540,1022220742.html",431,0
143,开始表演一下吧,04-09 02:31,"https://guba.eastmoney.com/news,300540,1022210875.html",370,1
144,主力可以起床干活了,04-09 02:27,"https://guba.eastmoney.com/news,300540,1022206993.html",291,0
145,凯美特气比你强，加油。[献花][献花][献花],04-09 01:41,"https://guba.eastmoney.com/news,300540,1022166520.html",473,2
146,这鸡儿做t到是可以每次拉升都是做t的好机会,04-09 01:41,"https://guba.eastmoney.com/news,300540,1022166130.html",309,0
147,"飙飙上涨，中铁装配的潜力非常巨大,发展非常迅猛",04-09 01:39,"https://guba.eastmoney.com/news,300540,1022164266.html",787,0
148,深冷股份重组预期很强，大家都惜筹别抛。,04-09 01:34,"https://guba.eastmoney.com/news,300540,1022158725.html",600,2
149,看了半天深冷不管在哪个位置上影线都有,04-09 01:29,"https://guba.eastmoney.com/news,300540,1022154017.html",455,1
150,在氢能源里这是个无能儿[捂脸][捂脸][捂脸],04-09 01:25,"https://guba.eastmoney.com/news,300540,1022150061.html",358,0
151,都急着卖出？难道不知道，要重组？这个价位以后还能有？,04-09 01:24,"https://guba.eastmoney.com/news,300540,1022149445.html",413,2
152,看了一些的走势这鸡儿怎么就是个跟风的涨停封不住,04-09 01:23,"https://guba.eastmoney.com/news,300540,1022149308.html",319,0
153,不是所有300都牛逼,04-09 01:13,"https://guba.eastmoney.com/news,300540,1022140209.html",311,2
154,下午开盘直接拉升13个点,04-09 11:54,"https://guba.eastmoney.com/news,300540,1022112001.html",465,7
155,深冷加速突破啊，突破前高，后续无限可能,04-09 11:15,"https://guba.eastmoney.com/news,300540,1022090509.html",425,3
156,涨不起来呀，太磨人了,04-09 10:43,"https://guba.eastmoney.com/news,300540,1022059245.html",433,2
157,老乡别走，下周起飞开启十连板！,04-09 10:28,"https://guba.eastmoney.com/news,300540,1022042050.html",419,2
158,昨天有人说我嗐说是托，现在我不知道他脸疼不，介入的几个兄弟，想留就留，想走就走，,04-09 10:27,"https://guba.eastmoney.com/news,300540,1022040460.html",486,1
159,昨天跟上的朋友，想出就出，不想出就留下，第一目标，前高,04-09 10:17,"https://guba.eastmoney.com/news,300540,1022029064.html",400,0
160,别装了。赶紧拉起来吧。,04-09 10:12,"https://guba.eastmoney.com/news,300540,1022023386.html",350,0
161,[想一下],04-09 10:11,"https://guba.eastmoney.com/news,300540,1022022185.html",452,0
162,有意思了 拉高急跌直接洗 这波目标26,04-09 10:10,"https://guba.eastmoney.com/news,300540,1022020038.html",631,9
163,狡猾无耻恶庄拉升也没有一天能让散户省点心！,04-09 10:02,"https://guba.eastmoney.com/news,300540,1022009756.html",312,0
164,股东不要减持了拉高了大家一起赚钱不吗？,04-09 09:57,"https://guba.eastmoney.com/news,300540,1022001902.html",313,0
165,囊子货！,04-09 09:56,"https://guba.eastmoney.com/news,300540,1022000704.html",339,0
166,买就买买龙头 厚朴,04-09 09:53,"https://guba.eastmoney.com/news,300540,1021996831.html",431,1
167,感谢主力,04-09 09:53,"https://guba.eastmoney.com/news,300540,1021996960.html",320,0
168,每天都是早上拉一下，然后没完没了的出货,04-09 09:42,"https://guba.eastmoney.com/news,300540,1021980260.html",400,1
169,起底天然气业！LNG参考价(元/吨)近30日变动17.61%[21/04/09],04-09 04:37,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210409043734327197410,1901,0
170,转发,04-08 06:42,"https://guba.eastmoney.com/news,300540,1021834414.html",343,0
171,这一天保险丝玩的,04-08 03:08,"https://guba.eastmoney.com/news,300540,1021777147.html",353,0
172,死庄深渣,04-08 02:47,"https://guba.eastmoney.com/news,300540,1021757297.html",429,0
173,割肉了。,04-08 02:40,"https://guba.eastmoney.com/news,300540,1021750654.html",372,0
174,好冷啊,04-08 01:45,"https://guba.eastmoney.com/news,300540,1021697568.html",380,1
175,要买就买龙头，跟风永远是小弟,04-08 12:53,"https://guba.eastmoney.com/news,300540,1021655369.html",394,0
176,绝对的10倍高成长股～发贴为证,04-08 11:40,"https://guba.eastmoney.com/news,300540,1021637010.html",657,4
177,今天买了点这货，不知道会怎么样,04-08 10:51,"https://guba.eastmoney.com/news,300540,1021596877.html",495,2
178,小息一下接着再来,04-08 10:40,"https://guba.eastmoney.com/news,300540,1021584977.html",380,1
179,太垃圾了,04-08 10:39,"https://guba.eastmoney.com/news,300540,1021583428.html",394,0
180,玩蹦极了上上下下。一看老庄股,04-08 10:36,"https://guba.eastmoney.com/news,300540,1021579518.html",353,0
181,22.3突破，后面空间就打开了,04-08 10:07,"https://guba.eastmoney.com/news,300540,1021534336.html",336,0
182,昨晚收到大牛人士透露，股东主力开始出逃，叫马上清仓，自己看着办吧，留下发财,04-08 10:03,"https://guba.eastmoney.com/news,300540,1021529516.html",682,4
183,进进进,04-08 09:52,"https://guba.eastmoney.com/news,300540,1021514784.html",408,0
184,废庄,04-08 09:41,"https://guba.eastmoney.com/news,300540,1021498356.html",329,0
185,22.3很快就会过了！,04-08 09:31,"https://guba.eastmoney.com/news,300540,1021487213.html",385,0
186,如果早盘能跌到20.00左右，直接开火,04-08 08:33,"https://guba.eastmoney.com/news,300540,1021465530.html",638,4
187,主力不动我也不动,04-08 07:36,"https://guba.eastmoney.com/news,300540,1021457556.html",448,1
188,【北京市就氢能产业发展实施方案征求意见，2023年产业规模目标突破500亿元】h,04-08 06:28,"https://guba.eastmoney.com/news,300540,1021450624.html",525,1
189,明天只要突破22.30，就可攻到24.94,04-08 12:23,"https://guba.eastmoney.com/news,300540,1021435636.html",301,0
190,一季度业绩预告好像不如预期,04-08 12:10,"https://guba.eastmoney.com/news,300540,1021434796.html",323,1
191,[为什么],04-07 09:07,"https://guba.eastmoney.com/news,300540,1021403740.html",368,0
192,[图片],04-07 08:48,"https://guba.eastmoney.com/news,300540,1021399689.html",343,1
193,董秘你好，请问公司控股股东的战略重组即蜀道投资的设立，是否会影响到前交投实业对公,05-10 11:41,"https://guba.eastmoney.com/news,300540,1032315613.html",872,0
194,唉，20.78出了！这个走势明天涨停板呀！,04-07 04:35,"https://guba.eastmoney.com/news,300540,1021348904.html",439,1
195,恶庄如,04-07 02:59,"https://guba.eastmoney.com/news,300540,1021319840.html",280,0
196,明天过22.3,04-07 02:50,"https://guba.eastmoney.com/news,300540,1021312977.html",338,1
197,不应该呀，应该会有所突破的！,04-07 02:15,"https://guba.eastmoney.com/news,300540,1021283825.html",317,0
198,春风关不住。,04-07 02:14,"https://guba.eastmoney.com/news,300540,1021283749.html",361,0
199,没劲，卖了，买了厚谱,04-07 01:44,"https://guba.eastmoney.com/news,300540,1021259560.html",324,0
200,垃圾,04-07 01:43,"https://guba.eastmoney.com/news,300540,1021258859.html",344,0
201,压不住了,04-07 01:22,"https://guba.eastmoney.com/news,300540,1021242457.html",426,0
202,次股垃圾不及深冷,04-07 01:21,"https://guba.eastmoney.com/news,300540,1021241484.html",332,0
203,厚普的小跟班,04-07 11:12,"https://guba.eastmoney.com/news,300540,1021186892.html",380,1
204,今天卖了深冷进了雪人,04-07 11:10,"https://guba.eastmoney.com/news,300540,1021184771.html",392,0
205,今天高抛,04-07 09:45,"https://guba.eastmoney.com/news,300540,1021080795.html",390,0
206,深冷还有重组概念,04-07 09:44,"https://guba.eastmoney.com/news,300540,1021079658.html",433,0
207,深冷加油,04-07 09:30,"https://guba.eastmoney.com/news,300540,1021062941.html",388,0
208,抢,04-07 09:25,"https://guba.eastmoney.com/news,300540,1021057925.html",403,0
209,厚朴又涨停了,04-07 09:18,"https://guba.eastmoney.com/news,300540,1021054280.html",612,3
210,[图片],04-07 05:57,"https://guba.eastmoney.com/news,300540,1021029024.html",431,0
211,起底天然气业！LNG参考价(元/吨)近30日变动14.86%[21/04/07],04-07 04:41,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210407044121804069870,2664,0
212,热点概念！,04-06 10:03,"https://guba.eastmoney.com/news,dougu,1020996442.html",828,1
213,这个股这周或者明天能突破前期22.30就是一个只强势股，是值得买入的，如果突破不,04-06 08:21,"https://guba.eastmoney.com/news,300540,1020975434.html",727,0
214,君正集团2020年9月3日回复称公司于2020年8月28日与氢阳新能源控股有限公,04-06 04:26,"https://guba.eastmoney.com/news,300540,1020931892.html",672,0
215,今天资金出啦672万明天一定埋啦,04-06 04:15,"https://guba.eastmoney.com/news,300540,1020929482.html",412,0
216,今天炒的主要是氢能源而不是国资战略重组,04-06 04:07,"https://guba.eastmoney.com/news,300540,1020927768.html",513,0
217,J-SHYCS0-97%信号！成功率98%！满仓杀入吧！,04-06 03:28,"https://guba.eastmoney.com/news,300540,1020917911.html",751,0
218,老大隆基压仓氢能+国资背景,04-06 03:09,"https://guba.eastmoney.com/news,300540,1020911481.html",578,0
219,国资委控股就行,04-06 03:01,"https://guba.eastmoney.com/news,300540,1020907885.html",367,0
220,相信深冷，会带来好运！！！,04-06 02:59,"https://guba.eastmoney.com/news,300540,1020906000.html",365,0
221,明天活埋,04-06 02:55,"https://guba.eastmoney.com/news,300540,1020903012.html",375,0
222,都是吹假比的，这些玩意有个啥玩意,04-06 02:54,"https://guba.eastmoney.com/news,300540,1020902496.html",339,0
223,涨到100块再卖[哟吼],04-06 02:46,"https://guba.eastmoney.com/news,300540,1020895901.html",431,2
224,不要涨停，只要天天涨,04-06 02:41,"https://guba.eastmoney.com/news,300540,1020890896.html",327,0
225,深冷大长腿！！！,04-06 02:39,"https://guba.eastmoney.com/news,300540,1020888843.html",323,0
226,啷个哩个啷！20CM,04-06 02:39,"https://guba.eastmoney.com/news,300540,1020888781.html",359,0
227,[大笑]洗乾净了,04-06 02:38,"https://guba.eastmoney.com/news,300540,1020888472.html",309,0
228,这个庄真没出息，你就不能拉两个涨停再出货,04-06 02:14,"https://guba.eastmoney.com/news,300540,1020868871.html",315,0
229,卖气球的都没氦气了，怎么可能不涨,04-06 02:11,"https://guba.eastmoney.com/news,300540,1020866582.html",336,0
230,[火箭][火箭][火箭][火箭][火箭][火箭],04-06 02:10,"https://guba.eastmoney.com/news,300540,1020865900.html",354,0
231,这么小的盘，还装什么蒜？示范一下二十厘米。,04-06 02:07,"https://guba.eastmoney.com/news,300540,1020863714.html",365,1
232,快跑,04-06 02:00,"https://guba.eastmoney.com/news,300540,1020858464.html",335,1
233,买300013，很快可以启动,04-06 01:54,"https://guba.eastmoney.com/news,300540,1020853547.html",357,0
234,左手倒右手,04-06 01:38,"https://guba.eastmoney.com/news,300540,1020840918.html",330,0
235,切记不要着急，福利在后面,04-06 01:21,"https://guba.eastmoney.com/news,300540,1020825647.html",342,0
236,这一波要稳稳的攥住,04-06 01:21,"https://guba.eastmoney.com/news,300540,1020825352.html",310,0
237,快跑啊，上20了,04-06 01:16,"https://guba.eastmoney.com/news,300540,1020821842.html",322,0
238,坚持就是胜利，加油往上冲,04-06 11:32,"https://guba.eastmoney.com/news,300540,1020784716.html",401,0
239,这个冷是：小毛驴拉车、没长劲[大笑][大笑][大笑][大笑][大笑],04-06 11:18,"https://guba.eastmoney.com/news,300540,1020773781.html",511,0
