,titles,times,links
41,终于狠心割肉了，真是无漳(州)一身轻！,03-29 11:56,"https://guba.eastmoney.com/news,000753,1017781601.html"
42,听说漳州发展高管生病了，各位知道吗？,03-29 09:55,"https://guba.eastmoney.com/news,000753,1017672150.html"
43,等跌到一分钱！！我们买几股！[哭]对脏州支持[得意],03-28 11:54,"https://guba.eastmoney.com/news,000753,1017580184.html"
44,4元成本今年能解套吗？,03-28 10:43,"https://guba.eastmoney.com/news,000753,1017515475.html"
45,脏州发展不发展！,03-28 09:35,"https://guba.eastmoney.com/news,000753,1017510378.html"
46,保持镇静，既然有5.56增发，那就立定心水，等出冲过5.56再走。,03-26 11:34,"https://guba.eastmoney.com/news,000753,1017388648.html"
47,一个上市公司，放任国有资产贬值30亿，不通过股市融资，却热衷于年年担保，而且担保,03-26 02:20,"https://guba.eastmoney.com/news,000753,1017250884.html"
48,如果都像漳州发展高价增发，低价贬值，股市还发展吗,03-26 02:12,"https://guba.eastmoney.com/news,000753,1017243048.html"
49,漳发大股东漳龙集团持股海峡碳股权交易中心比例达4.7％的真正碳概念股却伏在沟里不,03-26 02:12,"https://guba.eastmoney.com/news,000753,1017242383.html"
50,漳州发展，赔钱的摇篮[大笑],03-26 02:05,"https://guba.eastmoney.com/news,000753,1017236683.html"
51,漳州发展缓慢上行，中线值得拥有。,03-26 02:01,"https://guba.eastmoney.com/news,000753,1017231833.html"
52,5.56元的增发价，业绩好6年只分3分钱.漳州你何时发展过,03-26 01:59,"https://guba.eastmoney.com/news,000753,1017230486.html"
53,脏粥你不但脏还馊了，,03-26 01:59,"https://guba.eastmoney.com/news,000753,1017230393.html"
54,仙股，没希望了。,03-26 11:27,"https://guba.eastmoney.com/news,000753,1017150696.html"
55,漳州就像包皮，趁早割了,03-26 10:17,"https://guba.eastmoney.com/news,000753,1017078098.html"
56,好好一家公司让这些没有才能的东西管理早晚会变sT,03-26 09:59,"https://guba.eastmoney.com/news,000753,1017054890.html"
57,这次锁定向下做差利润了[胜利][胜利][胜利],03-26 09:55,"https://guba.eastmoney.com/news,000753,1017049392.html"
58,不洗盘不涨,03-26 09:54,"https://guba.eastmoney.com/news,000753,1017048119.html"
59,哎，亏了,03-26 09:39,"https://guba.eastmoney.com/news,000753,1017025564.html"
60,牛散集体出逃[大笑],03-26 09:37,"https://guba.eastmoney.com/news,000753,1017023415.html"
61,漳州,03-25 03:06,"https://guba.eastmoney.com/news,000753,1016845292.html"
62,担保，闷声发大财[大笑],03-25 02:48,"https://guba.eastmoney.com/news,000753,1016831919.html"
63,这个有做差的条件了[胜利][胜利][胜利],03-25 02:34,"https://guba.eastmoney.com/news,000753,1016819888.html"
64,碳交易,03-25 01:44,"https://guba.eastmoney.com/news,000753,1016779068.html"
65,还有诉讼大雷啊,03-25 01:34,"https://guba.eastmoney.com/news,000753,1016771590.html"
66,晕，没利好涨毛啊,03-25 01:33,"https://guba.eastmoney.com/news,000753,1016770044.html"
67,把娃娃累的半天涨了一分钱,03-25 01:27,"https://guba.eastmoney.com/news,000753,1016765654.html"
68,玩的一早上心电图说的,03-25 10:56,"https://guba.eastmoney.com/news,000753,1016691124.html"
69,自卖自销？,03-25 10:37,"https://guba.eastmoney.com/news,000753,1016672788.html"
70,贵公司涉台业务有哪些？是否与台湾省有深度合作。,03-26 04:40,"https://guba.eastmoney.com/news,000753,1017319700.html"
71,明天漳州发展开始涨停,03-24 04:17,"https://guba.eastmoney.com/news,000753,1016423085.html"
72,水,03-24 03:12,"https://guba.eastmoney.com/news,000753,1016401778.html"
73,冲啊！抗跌的神股。买啊……,03-24 01:55,"https://guba.eastmoney.com/news,000753,1016336779.html"
74,昨天清了你这垃圾后进了大智慧，把在垃圾这里的亏损全挣回来了[大笑],03-24 10:56,"https://guba.eastmoney.com/news,000753,1016224251.html"
75,预计成本能做到2.45以下[胜利][胜利][胜利],03-24 10:09,"https://guba.eastmoney.com/news,000753,1016167731.html"
76,在此买点上下皆可,03-24 09:58,"https://guba.eastmoney.com/news,000753,1016152999.html"
77,继续贬值[大笑],03-24 09:28,"https://guba.eastmoney.com/news,000753,1016109022.html"
78,感觉不行了,03-23 11:55,"https://guba.eastmoney.com/news,000753,1016053667.html"
79,感觉不行了,03-23 11:55,"https://guba.eastmoney.com/news,000753,1016053665.html"
80,脏粥有个垃圾池，5.56元的优良资产进去，贬值，缩水出来,03-23 05:00,"https://guba.eastmoney.com/news,000753,1015974813.html"
81,看看明天低开或者破下来可以建仓不？,03-23 03:41,"https://guba.eastmoney.com/news,000753,1015954748.html"
82,看看明天低开或者破下来可以建仓不？,03-23 03:40,"https://guba.eastmoney.com/news,000753,1015954744.html"
83,这一支股票可以变千年王八了,03-23 02:50,"https://guba.eastmoney.com/news,000753,1015929833.html"
84,没人玩？,03-23 02:34,"https://guba.eastmoney.com/news,000753,1015915768.html"
85,让漳州发展董事长吧,03-23 02:18,"https://guba.eastmoney.com/news,000753,1015901894.html"
86,压盘吃货,03-23 02:00,"https://guba.eastmoney.com/news,000753,1015883019.html"
87,庄家出货中,03-23 01:37,"https://guba.eastmoney.com/news,000753,1015864672.html"
88,继续贬值，跌停进行中,03-23 10:25,"https://guba.eastmoney.com/news,000753,1015741948.html"
89,主力也学会做差了[大笑][大笑][大笑],03-23 10:25,"https://guba.eastmoney.com/news,000753,1015742597.html"
90,[胜利][胜利][胜利],03-23 10:25,"https://guba.eastmoney.com/news,000753,1015741221.html"
91,好了，开始操作,03-23 10:24,"https://guba.eastmoney.com/news,000753,1015740951.html"
92,看一个公司管理层的敬业精神，看看股价，看看国有资产,03-23 10:13,"https://guba.eastmoney.com/news,000753,1015726794.html"
93,5.59元的优质资产，让漳州发展成一半资产，优质股变成垃圾股,03-23 09:57,"https://guba.eastmoney.com/news,000753,1015704936.html"
94,又打回原路，还好昨日高位逃出。,03-23 09:48,"https://guba.eastmoney.com/news,000753,1015692166.html"
95,漂亮的操作，漳州三月已经中标几个项目，今年漳州水务建设将投入47亿，来回双倍利润,03-23 09:44,"https://guba.eastmoney.com/news,000753,1015687604.html"
96,这就是垃圾股[大笑],03-23 09:42,"https://guba.eastmoney.com/news,000753,1015684321.html"
97,财信发展吧 (000838.sz),03-22 01:33,"https://guba.eastmoney.com/news,000753,1015431828.html"
98,哈哈，主力今天触电了,03-22 01:23,"https://guba.eastmoney.com/news,000753,1015424720.html"
99,不活跃个股,03-22 01:11,"https://guba.eastmoney.com/news,000753,1015415759.html"
100,[微笑]终于动了,03-22 12:18,"https://guba.eastmoney.com/news,000753,1015398096.html"
101,慢慢涨，不急，我10元的岗上躺着呢，等你哦！,03-22 12:14,"https://guba.eastmoney.com/news,000753,1015397082.html"
102,买啊，下午涨停的节奏！,03-22 11:38,"https://guba.eastmoney.com/news,000753,1015388042.html"
103,回本，走了，难得耗,03-22 11:23,"https://guba.eastmoney.com/news,000753,1015379326.html"
104,一毛钱掉地下没人拣了垃圾,03-22 11:19,"https://guba.eastmoney.com/news,000753,1015376769.html"
105,今天涨停，目前净流入1千多万了，这可是很难看到的啊,03-22 11:18,"https://guba.eastmoney.com/news,000753,1015375287.html"
106,二次脉冲吗？,03-22 11:13,"https://guba.eastmoney.com/news,000753,1015372084.html"
107,2.89卖了转重庆路桥,03-22 11:09,"https://guba.eastmoney.com/news,000753,1015368757.html"
108,风水轮流转,03-22 11:04,"https://guba.eastmoney.com/news,000753,1015364068.html"
109,刚才一波是什么意思,03-22 10:55,"https://guba.eastmoney.com/news,000753,1015356618.html"
110,终于给我说涨了,03-22 10:53,"https://guba.eastmoney.com/news,000753,1015355177.html"
111,这錞货终于动了,03-22 10:53,"https://guba.eastmoney.com/news,000753,1015354679.html"
112,刚卖了就涨？虽然亏了，但不后悔！,03-22 10:49,"https://guba.eastmoney.com/news,000753,1015351346.html"
113,僵尸,03-22 09:53,"https://guba.eastmoney.com/news,000753,1015290275.html"
114,证券时报数据宝统计了风力发电、光伏、环保概念、核电、碳中和、新能源和新能源汽车七,03-22 09:15,"https://guba.eastmoney.com/news,000753,1015239375.html"
115,漳州发展开发的房子赚了十多亿，年报从来没有提起,03-21 12:54,"https://guba.eastmoney.com/news,000753,1015149524.html"
116,牛股啊，抗跌！,03-19 03:26,"https://guba.eastmoney.com/news,000753,1014900322.html"
117,今天周末真开心，给各位韭菜免费挖掘碳中和影子股一枚,03-19 03:25,"https://guba.eastmoney.com/news,000753,1014900057.html"
118,今天大盘大跌，漳州居然还怒涨1分，怎么回事[为什么],03-19 03:12,"https://guba.eastmoney.com/news,000753,1014894935.html"
119,压力还是很大，做多魄力不足。,03-19 02:08,"https://guba.eastmoney.com/news,000753,1014842297.html"
120,3.01的本，只能死磕到底了。,03-19 01:39,"https://guba.eastmoney.com/news,000753,1014817277.html"
121,主力掌握生杀大权。,03-19 01:37,"https://guba.eastmoney.com/news,000753,1014815261.html"
122,2.77卖出了，一会接回来，往下t没毛病,03-19 11:20,"https://guba.eastmoney.com/news,000753,1014747258.html"
123,漳州是个好地方，就在厦门边上，大家来发展经济吧！,03-19 10:51,"https://guba.eastmoney.com/news,000753,1014720762.html"
124,老大马上来了。万手哥就在路上！,03-19 10:25,"https://guba.eastmoney.com/news,000753,1014693367.html"
125,涨停会死吗,03-19 10:05,"https://guba.eastmoney.com/news,000753,1014669516.html"
126,动静这么大，刚拉就熄火？,03-18 09:31,"https://guba.eastmoney.com/news,000753,1014527521.html"
127,一个上市公司，放任国有资产贬值30亿，不通过股市融资，却热衷于年年担保，而且担保,03-18 07:27,"https://guba.eastmoney.com/news,000753,1014501652.html"
128,5快多买的拿了6年，有比我厉害的吗？,03-18 02:22,"https://guba.eastmoney.com/news,000753,1014402042.html"
129,后悔买了它,03-18 02:20,"https://guba.eastmoney.com/news,000753,1014400498.html"
130,怎么这么多1手的卖出？,03-18 01:49,"https://guba.eastmoney.com/news,000753,1014372810.html"
131,又要跌了[大哭],03-18 01:02,"https://guba.eastmoney.com/news,000753,1014335776.html"
132,鸡B倒的，天天跌,03-18 10:52,"https://guba.eastmoney.com/news,000753,1014274018.html"
133,继续担保，国有资产贬值不影响高管高薪,03-18 09:29,"https://guba.eastmoney.com/news,000753,1014168105.html"
134,涨停,03-18 12:16,"https://guba.eastmoney.com/news,000753,1014112820.html"
135,脏粥你能要点b敛吗,03-17 01:39,"https://guba.eastmoney.com/news,000753,1013931393.html"
136,几年都没个涨停，连百分之五都没有,03-17 01:27,"https://guba.eastmoney.com/news,000753,1013922889.html"
137,平潭再度涨停，吸漳州[胜利][胜利][胜利]两边赚,03-17 12:30,"https://guba.eastmoney.com/news,000753,1013895120.html"
138,心电图平了，要死的节奏，,03-17 10:41,"https://guba.eastmoney.com/news,000753,1013837242.html"
139,向平潭发展看齐,03-17 10:40,"https://guba.eastmoney.com/news,000753,1013836557.html"
140,漳州发展之使命－绿色低碳城市！你懂得！,03-17 09:24,"https://guba.eastmoney.com/news,000753,1013736818.html"
141,每次收盘出现77就是要跌了，机构间的信号,03-16 03:08,"https://guba.eastmoney.com/news,000753,1013574880.html"
142,让牛散自己玩去吧,03-16 02:28,"https://guba.eastmoney.com/news,000753,1013543386.html"
143,你拦腰被砍了吗？你和牛散一样继续套牢4年吗？漳州发展继续贬值进行中,03-16 02:23,"https://guba.eastmoney.com/news,000753,1013539693.html"
144,碳中和40年基调已定，是下一个风口还是炒作？环保概念股更应首当其冲，受此影响一些,03-16 12:08,"https://guba.eastmoney.com/news,000753,1013460516.html"
145,碳达峰碳中和市场巨大，市场需要这样的企业,03-16 09:48,"https://guba.eastmoney.com/news,000753,1013340866.html"
146,后悔买了漳州发展太恶心,03-16 07:51,"https://guba.eastmoney.com/news,000753,1013285487.html"
147,脏粥罚斩，投资享受拦腰砍，股指上涨1000点，漳州发展掉深渊，国有资产贬值流失赔,03-15 09:55,"https://guba.eastmoney.com/news,000753,1013233941.html"
148,漳州发展要出大动作,03-15 07:22,"https://guba.eastmoney.com/news,000753,1013198810.html"
149,中央财经委员会：把碳达峰碳中和纳入生态文明建设整体布局。,03-15 07:14,"https://guba.eastmoney.com/news,000753,1013197174.html"
150,碳中和漳州大有可为，污水处理实现无害化处理，新能源汽车将得到进一步发展，迎来高峰,03-15 04:44,"https://guba.eastmoney.com/news,000753,1013164697.html"
151,跟着茅台跌，注定操盘策略失败，拭目以待,03-15 02:09,"https://guba.eastmoney.com/news,000753,1013087448.html"
152,[大笑][大笑][大笑],03-15 11:05,"https://guba.eastmoney.com/news,000753,1012978444.html"
153,配置低价股准备打新喽！给东哥一个面子！,03-15 10:36,"https://guba.eastmoney.com/news,000753,1012948718.html"
154,一分不是爱，一分是伤害[微笑],03-15 10:29,"https://guba.eastmoney.com/news,000753,1012942421.html"
155,现在地越来越难拿了，厦门又是集中供地试点城市，可以说涉诉案子不管输赢无所谓了，国,03-15 09:49,"https://guba.eastmoney.com/news,000753,1012895226.html"
156,加仓等爆发,03-15 08:01,"https://guba.eastmoney.com/news,000753,1012834254.html"
157,好好慢慢底部囤货，看准时机囤积锁住低位筹码，待案子结束待涨。,03-12 02:19,"https://guba.eastmoney.com/news,000753,1012465962.html"
158,典型的仙股！,03-12 02:17,"https://guba.eastmoney.com/news,000753,1012463636.html"
159,关于减持漳州发展股份公告,03-12 01:50,"https://guba.eastmoney.com/news,000753,1012440707.html"
160,这股只能等到大盘涨到五千点，它能涨到三元解套,03-12 01:48,"https://guba.eastmoney.com/news,000753,1012438425.html"
161,跑路,03-12 12:33,"https://guba.eastmoney.com/news,000753,1012387810.html"
162,5.59元的增发价，6年只分3分钱，漳州发展，股市奇葩,03-12 11:28,"https://guba.eastmoney.com/news,000753,1012367282.html"
163,漂亮小王重新慢做回,03-12 09:48,"https://guba.eastmoney.com/news,000753,1012254786.html"
164,买后打折，拦腰砍一半，漳州发展将贬值进行到底,03-12 09:25,"https://guba.eastmoney.com/news,000753,1012217259.html"
165,成交量好不容易突破一千五，发展不容易哪！,03-11 03:01,"https://guba.eastmoney.com/news,000753,1012053798.html"
166,5.59元的增发价如今2.69元，漳州发展将贬值进行到底,03-11 02:27,"https://guba.eastmoney.com/news,000753,1012027754.html"
167,填不满的漳州发展，谁买套谁,03-11 02:03,"https://guba.eastmoney.com/news,000753,1012007823.html"
168,为挣一分累叭了,03-11 01:51,"https://guba.eastmoney.com/news,000753,1011997124.html"
169,感觉今天涨停,03-11 10:38,"https://guba.eastmoney.com/news,000753,1011875084.html"
170,几十万退出了，等了这么长赚了几万，利润太低了，转战新战场,03-11 10:33,"https://guba.eastmoney.com/news,000753,1011869088.html"
171,官司缠身多年，高价增发赔钱，业绩优良，资产贬值，6年分红3分。高管高薪不少，年年,03-11 10:32,"https://guba.eastmoney.com/news,000753,1011867958.html"
172,平潭发展涨停了！,03-11 09:54,"https://guba.eastmoney.com/news,000753,1011821770.html"
173,高管高薪，5.59元的增发价，6年只分3分钱。,03-11 09:29,"https://guba.eastmoney.com/news,000753,1011784950.html"
174,漳州发展高管高薪，5.59元增发价为什么缩水2.65元，为什么6年分红3分钱，为,03-10 08:28,"https://guba.eastmoney.com/news,000753,1011543323.html"
175,2.64还有人卖，这种人怎么不,03-10 02:55,"https://guba.eastmoney.com/news,000753,1011255393.html"
176,国资委的职责就是保持国有资产保值增值，然漳州发展高价增发，高管高薪，3年国有资产,03-10 02:37,"https://guba.eastmoney.com/news,000753,1011238529.html"
177,主力出货了，老是装强势,03-10 01:18,"https://guba.eastmoney.com/news,000753,1011173331.html"
178,漳州发展高价增发，国有资产3年贬值30多亿元,03-10 09:49,"https://guba.eastmoney.com/news,000753,1011004431.html"
179,保守成本建到2.2，利润300%,03-10 09:46,"https://guba.eastmoney.com/news,000753,1010999708.html"
180,太赞了,03-10 09:40,"https://guba.eastmoney.com/news,000753,1010992322.html"
181,大批量建仓漳州[胜利][胜利][胜利],03-10 09:39,"https://guba.eastmoney.com/news,000753,1010989886.html"
182,去年也出现过2次涨停,03-10 07:07,"https://guba.eastmoney.com/news,000753,1010938402.html"
183,这股2000年还涨停过3次,03-09 10:30,"https://guba.eastmoney.com/news,000753,1010893695.html"
184,漳州发展高价增发，年年业绩之好，为什么6年只分3分钱！为什么3年国有资产贬值30,03-09 03:50,"https://guba.eastmoney.com/news,000753,1010790377.html"
185,来来来[大笑][大笑][大笑],03-09 02:53,"https://guba.eastmoney.com/news,000753,1010758959.html"
186,织布机,03-09 11:39,"https://guba.eastmoney.com/news,000753,1010643333.html"
187,一天拿下多天利润[呲牙][呲牙][呲牙],03-09 10:06,"https://guba.eastmoney.com/news,000753,1010549079.html"
188,那些吃掉下来筹码的基本在押注，庄家也收不回去，有去无回的筹码[大笑][大笑],03-09 10:06,"https://guba.eastmoney.com/news,000753,1010547725.html"
189,1月5日近3元的漳州发展参股的投资基金，起到助跌的功能.最高跌幅超过百分之20,03-09 10:02,"https://guba.eastmoney.com/news,000753,1010542344.html"
190,又撑不住了，可怜大！,03-09 09:46,"https://guba.eastmoney.com/news,000753,1010514753.html"
191,漳州发展南靖县水务有限公司生产经营用车采购项目中标公告,03-08 06:19,"https://guba.eastmoney.com/news,000753,1010343089.html"
192,这股怎么天天都是心电图？,03-08 01:40,"https://guba.eastmoney.com/news,000753,1010213505.html"
193,低价股玩起累,03-08 11:20,"https://guba.eastmoney.com/news,000753,1010148492.html"
194,压力山大,03-08 11:02,"https://guba.eastmoney.com/news,000753,1010135570.html"
195,累啊，好不容易涨2分,03-08 09:34,"https://guba.eastmoney.com/news,000753,1010063507.html"
196,持股4年了，有比我久的吗？,03-06 09:42,"https://guba.eastmoney.com/news,000753,1009917103.html"
197,半死不活,03-05 11:13,"https://guba.eastmoney.com/news,000753,1009820918.html"
198,国资委的职责就是保持国有资产保值增值，然漳州发展高价增发，3年国有资产贬值30多,03-05 10:31,"https://guba.eastmoney.com/news,000753,1009591727.html"
199,高价增发，低价贬值，高管高薪，国有资产3年贬值30亿,03-05 04:58,"https://guba.eastmoney.com/news,000753,1009498987.html"
200,管你涨不涨，老子放著不动，看你怎么样！,03-04 10:09,"https://guba.eastmoney.com/news,000753,1009462008.html"
201,房地产没你事，汽车没你事，环保没你事，你到底想干啥你说嘛,03-04 02:52,"https://guba.eastmoney.com/news,000753,1009348642.html"
202,5.56元的增发价，只有贬值才能达到他们不可告人的目的。5.56元一2.76元=,03-04 02:46,"https://guba.eastmoney.com/news,000753,1009343748.html"
203,平潭一板就超漳州，牛劲十足，后续更辉煌,03-04 01:59,"https://guba.eastmoney.com/news,000753,1009311377.html"
204,终于告别心电图。漳州发展有希望！,03-04 10:26,"https://guba.eastmoney.com/news,000753,1009195947.html"
205,今天商业百货应该会不错,03-04 10:15,"https://guba.eastmoney.com/news,000753,1009185672.html"
206,每次都是，给平潭发展提鞋的资格都没有,03-04 09:39,"https://guba.eastmoney.com/news,000753,1009152840.html"
207,潭州修高铁到台北，漳州修高铁到台南[大笑],03-03 09:37,"https://guba.eastmoney.com/news,000753,1009075872.html"
208,走了，它就涨，不卖就是不涨！,03-03 07:50,"https://guba.eastmoney.com/news,000753,1009053112.html"
209,2.71再买4万6千多股,03-03 02:18,"https://guba.eastmoney.com/news,000753,1008962718.html"
210,擦，二千万就能拉涨停,03-03 01:45,"https://guba.eastmoney.com/news,000753,1008943141.html"
211,庄家一直在等消息---,03-03 11:01,"https://guba.eastmoney.com/news,000753,1008881097.html"
212,恨死了差不多,03-03 09:35,"https://guba.eastmoney.com/news,000753,1008819796.html"
213,**福建236个重大项目集中开工总投资1767亿元,03-03 12:30,"https://guba.eastmoney.com/news,000753,1008768995.html"
214,龙文区和高新区两个城乡供水一体化项目都不用出公告吗？,03-02 03:37,"https://guba.eastmoney.com/news,000753,1008671262.html"
215,启动吧，再也榨不出多少便宜筹码了,03-02 02:37,"https://guba.eastmoney.com/news,000753,1008645412.html"
216,好时机,03-02 01:05,"https://guba.eastmoney.com/news,000753,1008592051.html"
217,2.71怎么没人卖筹码,03-02 11:16,"https://guba.eastmoney.com/news,000753,1008559373.html"
218,织布,03-02 10:26,"https://guba.eastmoney.com/news,000753,1008527709.html"
219,我警告,03-01 07:35,"https://guba.eastmoney.com/news,000753,1008392386.html"
220,高价增发的钱，只有通过打压股价，才能达到他们不可告人的目的,03-01 11:17,"https://guba.eastmoney.com/news,000753,1008238166.html"
221,就是来圈钱的吗，涨一点就这么难，你有多缺爹呀,03-01 11:02,"https://guba.eastmoney.com/news,000753,1008229091.html"
222,此股生来就是打酱油的命！,03-01 10:52,"https://guba.eastmoney.com/news,000753,1008223032.html"
223,爱上你是我的错[大笑][大笑][大笑],03-01 10:50,"https://guba.eastmoney.com/news,000753,1008221978.html"
224,他是做房地产的吧,02-26 02:38,"https://guba.eastmoney.com/news,000753,1007829479.html"
225,哈哈，一天心电图,02-26 02:36,"https://guba.eastmoney.com/news,000753,1007828074.html"
226,公用事业股开始动了,02-25 02:43,"https://guba.eastmoney.com/news,000753,1007466366.html"
227,000753,02-25 01:32,"https://guba.eastmoney.com/news,000753,1007418324.html"
228,没啥成交量，这么低的股价都没人要,02-25 10:45,"https://guba.eastmoney.com/news,000753,1007348855.html"
229,股是好股，庄是烂庄,02-24 07:25,"https://guba.eastmoney.com/news,000753,1007179109.html"
230,13家汽车行业公司发布2020年度业绩快报 1家净利润翻倍,02-24 11:50,"https://guba.eastmoney.com/news,000550,1007020789.html"
231,一个上市公司，放任国有资产贬值30亿，不通过股市融资，却热衷于年年担保，而且担保,02-23 07:45,"https://guba.eastmoney.com/news,000753,1006826561.html"
232,我对买这个股票的一点感悟,02-23 06:56,"https://guba.eastmoney.com/news,000753,1006818634.html"
233,漳州发展高管高薪，高价增发，低价贬值，国有资产3年贬值30多亿，已经严重影响股市,02-23 02:49,"https://guba.eastmoney.com/news,000753,1006758663.html"
234,此股套牢庄家，套牢散户，脏粥罚斩的任务就是担保，国有资产继续贬值30亿！高管高薪,02-23 01:36,"https://guba.eastmoney.com/news,000753,1006716698.html"
235,注意了，注意了，漳州发展，抓紧上车了，以我二十年炒股经验，漳州发展14：12分预,02-23 01:33,"https://guba.eastmoney.com/news,000753,1006715915.html"
236,漳州发展，2.45元的缺口还回补吗？,02-23 01:21,"https://guba.eastmoney.com/news,000753,1006709478.html"
237,只有贬值才能达到高价增发，资金转移的目的。,02-23 09:30,"https://guba.eastmoney.com/news,000753,1006599839.html"
238,继续搞担保，国有资产3年贬值30多亿不影响高管高薪,02-22 03:07,"https://guba.eastmoney.com/news,000753,1006433917.html"
239,通过资产重组和资源整合，重新定义和适时组建新。。。,02-22 12:32,"https://guba.eastmoney.com/news,000753,1006346985.html"
240,股友9188888欺骗牛散也就算了，又欺骗散户，欺骗散户也就算了，如今又欺骗客户,02-22 11:33,"https://guba.eastmoney.com/news,000753,1006330273.html"
241,股友1F16356t50漳州倒退贬值02-0713:29东方财富为什么漳州发展热,02-22 11:28,"https://guba.eastmoney.com/news,000753,1006327319.html"
242,国务院关于新时代支持革命老区振兴发展的意见国发〔2021〕3号漳州是福建八个革命,02-22 10:51,"https://guba.eastmoney.com/news,000753,1006304064.html"
243,漳州启动了，该说不说的,02-21 10:45,"https://guba.eastmoney.com/news,000753,1006202687.html"
244,看看好像是内行，满口官司官司，什么官司弄清楚了吗？参股的5亿要退股，等於淘宝上买,02-21 05:45,"https://guba.eastmoney.com/news,000753,1006130215.html"
